g,p,pb,resul
Aurora,Nacional Potosi,0.8931228714336085,vl

Real Potosi,Atletico Palmaflor,0.5260628202124882,vv

Jorge Wilstermann,Oriente Petrolero,0.9924217874594174,vl

Jorge Wilstermann,Atletico Palmaflor,0.9979447621815264,vv

Bolivar,Always Ready,0.9987651431711085,vl

Royal Pari,Real Potosi,0.7143256536497583,vl

Guabira,Real Santa Cruz,0.938993211899838,vv

San Jose,Atletico Palmaflor,0.9166144809402539,vl

Aurora,Real Santa Cruz,0.8410715466477432,vl

Royal Pari,Oriente Petrolero,0.5115952483975046,vl

Aurora,Real Potosi,0.8692241786203321,vl

Always Ready,Guabira,0.5088377701134806,vv

Bolivar,Atletico Palmaflor,0.9991486534611852,vl

Jorge Wilstermann,Nacional Potosi,0.9908101480719584,vv

The Strongest,San Jose,0.8577204163371401,vl

Always Ready,Aurora,0.9125868796209774,vl

Atletico Palmaflor,Royal Pari,0.5183230689624744,vl

Jorge Wilstermann,Guabira,0.9843574053859768,vl

Oriente Petrolero,Nacional Potosi,0.8596861164695428,vl

The Strongest,Real Santa Cruz,0.9989790760501146,vv

Bolivar,Royal Pari,0.999864355102855,vv

The Strongest,Real Potosi,0.9947010340816038,vl

Nacional Potosi,Atletico Palmaflor,0.8006828014921931,vl

Jorge Wilstermann,Aurora,0.985033245362857,vv

Bolivar,Nacional Potosi,0.9993294472824651,vl

Guabira,Atletico Palmaflor,0.8464886649937049,vv

Oriente Petrolero,Aurora,0.8754871305630284,vl

Jorge Wilstermann,Blooming,0.9890223323031366,vl

The Strongest,Always Ready,0.9776025287683819,vv

Real Potosi,Real Santa Cruz,0.5767607484413091,vl

San Jose,Real Potosi,0.9478989384000676,vv

Always Ready,Real Santa Cruz,0.8520952987901979,vl

Oriente Petrolero,Blooming,0.5014814234607945,vv

Bolivar,Guabira,0.9999232538574119,vv

Guabira,Royal Pari,0.6651856788900786,vv

Bolivar,Aurora,0.9994156485438973,vl

Blooming,Atletico Palmaflor,0.7938777301261772,vv

Always Ready,Real Potosi,0.8785770927255567,vl

Jorge Wilstermann,Real Potosi,0.9961027401780158,vv

The Strongest,Atletico Palmaflor,0.9946482230919894,vl

Bolivar,Blooming,0.9998712680529727,vv

Guabira,Nacional Potosi,0.6401045777100977,vl

Nacional Potosi,Aurora,0.8541030350559617,vl

Bolivar,The Strongest,0.7896190053248348,vl

Real Santa Cruz,Atletico Palmaflor,0.5823042406222009,vv

Jorge Wilstermann,Always Ready,0.995333752861813,vl

Always Ready,Oriente Petrolero,0.7519290119640607,vl

